2026-06-29 19:11:08,917 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:11:09,686 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:11:09,873 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:11:09,877 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:11:09,882 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:11:09,884 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:11:09,884 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:11:09,885 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:11:09,885 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:11:09,885 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:11:09,886 | INFO     | SCHEMA.transform | Diminuindo as casas decimais...
2026-06-29 19:11:09,886 | INFO     | SCHEMA.transform | Feito!!
2026-06-29 19:13:04,146 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:13:04,848 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:13:05,023 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:13:05,026 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:13:05,028 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:13:05,030 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:13:05,030 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:13:05,031 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:13:05,032 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:13:05,032 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:13:05,032 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:13:05,032 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:14:58,999 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:14:59,850 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:15:00,041 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:15:00,043 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:15:00,048 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:15:00,050 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:15:00,051 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:15:00,052 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:15:00,052 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:15:00,052 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:15:00,053 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:15:00,053 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:24:47,516 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:24:49,467 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:24:49,624 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:24:49,627 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:24:49,631 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:24:49,633 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:24:49,633 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:24:49,633 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:24:49,634 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:24:49,634 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:24:49,634 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:25:10,538 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:25:14,416 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:25:14,580 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:25:14,583 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:25:14,587 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:25:14,589 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:25:14,589 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:25:14,590 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:25:14,590 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:25:14,591 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:25:14,591 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:25:18,224 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:25:19,095 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:25:19,268 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:25:19,270 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:25:19,272 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:25:19,274 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:25:19,274 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:25:19,275 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:25:19,275 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:25:19,275 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:25:19,275 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:30:54,260 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:30:55,173 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:30:55,343 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:30:55,346 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:30:55,350 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:30:55,352 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:30:55,352 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:30:55,353 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:30:55,353 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:30:55,354 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:30:55,354 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:35:33,311 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:35:34,103 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:35:34,310 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:35:34,313 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:35:34,319 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:35:34,320 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:35:34,321 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:35:34,321 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:35:34,322 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:35:34,322 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:36:00,751 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:36:01,392 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:36:01,552 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:36:01,555 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:36:01,557 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:36:01,559 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:36:01,559 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:36:01,559 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:36:01,560 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:36:01,560 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:36:01,560 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna high pra float...
2026-06-29 19:36:01,560 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:36:01,560 | INFO     | SCHEMA.transform | Diminuindo as casas decimais...
2026-06-29 19:36:01,561 | INFO     | SCHEMA.transform | Feito!!
2026-06-29 19:38:41,808 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:38:42,614 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:38:42,807 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:38:42,810 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:38:42,813 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:38:42,814 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:38:42,814 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:38:42,815 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:38:42,816 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:38:42,816 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:38:42,816 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna high pra float...
2026-06-29 19:38:42,816 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:38:42,816 | INFO     | SCHEMA.transform | Diminuindo as casas decimais...
2026-06-29 19:38:42,816 | INFO     | SCHEMA.transform | Feito!!
2026-06-29 19:38:42,817 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:38:42,817 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:38:42,817 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna low pra <class 'float'>...
2026-06-29 19:39:50,453 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:39:51,306 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:39:51,484 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:39:51,487 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:39:51,488 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:39:51,490 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:39:51,490 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:39:51,491 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:39:51,491 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna open pra float...
2026-06-29 19:39:51,492 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:39:51,492 | INFO     | SCHEMA.transform | Convertendo o tipo da coluna high pra float...
2026-06-29 19:39:51,492 | INFO     | SCHEMA.transform | Convertido!!!
2026-06-29 19:40:24,322 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:40:24,950 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:40:25,111 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:40:25,114 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:40:25,116 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:40:25,118 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:40:25,118 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
